date,time ,rname,raddress,num_available
2019-11-16,11:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-16,12:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-16,13:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-16,14:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-16,15:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-16,16:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-16,17:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-16,18:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-16,19:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-17,10:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-17,11:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-17,12:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-17,13:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-17,14:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-17,15:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-17,16:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-17,17:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-17,18:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-17,19:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-18,10:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-18,11:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-18,12:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-18,13:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-18,14:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-18,15:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-18,16:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-18,17:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-18,18:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-18,19:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-19,10:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-19,11:00,Amazing Sauce,77156 Evergreen Point,50
2019-11-19,12:00,Amazing Sauce,77156 Evergreen Point,50
