fname,price,title,rname,raddress
Creamy Green Chile Chicken Enchiladas,25,All Day,Golden Palace,58646 Jackson Drive
Pork Tacos with Cilantro-Avocado Cream Sauce,28,All Day,Golden Palace,58647 Jackson Drive
Instant Pot Turkey Chili,16,All Day,Golden Palace,58648 Jackson Drive
Salmon Sandwiches with Fries,32,All Day,Golden Palace,58649 Jackson Drive
Bird's Nest Egg Salad,11,All Day,Golden Palace,58650 Jackson Drive
Faggots with onion gravy,43,All Day,Soups & Snacks,81 Green Ridge Pass
Oven Baked Chicken Tacos – Our Newest Family Favorite,38,All Day,Soups & Snacks,82 Green Ridge Pass
Chicken Salad with Grapes and Walnuts,13,All Day,Soups & Snacks,83 Green Ridge Pass
"Grilled Chicken, Zucchini, and Quinoa Salad",40,All Day,Soups & Snacks,84 Green Ridge Pass
Caprese Mac and Cheese,43,All Day,Soups & Snacks,85 Green Ridge Pass
Tofu Kabobs with Cherry Barbecue Sauce,16,All Day,Soups & Snacks,86 Green Ridge Pass
Bang-Bang Shrimp,46,All Day,Soups & Snacks,87 Green Ridge Pass
Low Carb Peanut Butter Swirl Frozen Yogurt {No Sugar Added},7,All Day,Soups & Snacks,88 Green Ridge Pass
Skirt Steak With Arugula Salad,38,All Day,Soups & Snacks,89 Green Ridge Pass
Slow Cooker Chicken Tortellini Soup,50,All Day,Soups & Snacks,90 Green Ridge Pass
Cook the Book: Shepherd's Pie,7,All Day,Soups & Snacks,91 Green Ridge Pass
Skinnified Pork and Bean Burrito,30,All Day,Soups & Snacks,92 Green Ridge Pass
Beef Curry,12,All Day,Soups & Snacks,93 Green Ridge Pass
Slow Cooker Meatball Subs,9,All Day,Soups & Snacks,94 Green Ridge Pass
Healthy Chicken Burgers with Spinach Basil Pesto & Mozzarella,11,All Day,Soups & Snacks,95 Green Ridge Pass
Chipotle Chicken Grilled Cheese Sandwich + Emmi USA’s “Gourmelt” Grilled Cheese Contest,25,All Day,Soups & Snacks,96 Green Ridge Pass
"One Pot Garlic Butter Chicken, Green Beans & Potatoes",9,All Day,Soups & Snacks,97 Green Ridge Pass
Greek pasta salad,24,All Day,Soups & Snacks,98 Green Ridge Pass
Snapper,27,All Day,Quick Bite,31323 Forest Dale Crossing
Pan-Seared Cod in White Wine Tomato Basil Sauce,26,All Day,Quick Bite,31324 Forest Dale Crossing
Caprese Zucchini Noodle Salad,25,All Day,Quick Bite,31325 Forest Dale Crossing
Roasted Garlic Macaroni and Cheese,20,All Day,Quick Bite,31326 Forest Dale Crossing
Chicken Fajita Burgers,23,All Day,Quick Bite,31327 Forest Dale Crossing
Stir-Fried Udon Noodles with Bok Choy,32,All Day,Quick Bite,31328 Forest Dale Crossing
Calamari,12,All Day,Quick Bite,31329 Forest Dale Crossing
Avocado BLT,47,All Day,Quick Bite,31330 Forest Dale Crossing
Creamy chicken & mango curry,39,All Day,Quick Bite,31331 Forest Dale Crossing
Super Mom Stir Fry,22,All Day,Quick Bite,31332 Forest Dale Crossing
Grilled Pork Chops,50,All Day,Quick Bite,31333 Forest Dale Crossing
Slow-Cooker Cincinnati Chili,47,All Day,Quick Bite,31334 Forest Dale Crossing
Chicken and Corn Chowder,17,All Day,Quick Bite,31335 Forest Dale Crossing
Homemade Creamy Chicken Noodle Soup,18,All Day,Quick Bite,31336 Forest Dale Crossing
Sweet Thai Shrimp Curry with Peanut Noodles,30,All Day,Quick Bite,31337 Forest Dale Crossing
Cheesy Chicken and Broccoli Whole Wheat Pasta,41,All Day,Quick Bite,31338 Forest Dale Crossing
Smoked Salmon Carbonara with Lemon and Dill,17,All Day,Quick Bite,31339 Forest Dale Crossing
Grilled Watermelon Salad,47,All Day,Fast & Friendly,625 Pleasure Way
Pork Chops Romano in Lemon-Butter Sauce,26,All Day,Fast & Friendly,626 Pleasure Way
Contest-Winning Eggplant Parmesan,11,All Day,Fast & Friendly,627 Pleasure Way
Thai Peanut Chicken,3,All Day,Fast & Friendly,628 Pleasure Way
Mexican Chicken Taco Skillet,32,All Day,Fast & Friendly,629 Pleasure Way
Pan-seared Salmon with Asparagus for #WeekdaySupper,34,All Day,Fast & Friendly,630 Pleasure Way
Guinea fowl tagine,2,All Day,Fast & Friendly,631 Pleasure Way
Coconut Pound Cake,33,All Day,Fast & Friendly,632 Pleasure Way
Spinach Burrata Omelet with Avocado Salad,26,All Day,Fast & Friendly,633 Pleasure Way
Chef Race: Cornmeal-Crusted Catfish with Tomato-Zucchini Rice and Radish Slaw,43,All Day,Big Bites,508 Barnett Pass
"Minty carrot, pistachio & feta salad",7,All Day,Big Bites,509 Barnett Pass
The TJ Hooker Pizza (Chipotle BBQ and Sweet Chili Pineapple + Jalapeño Pizza with Bacon),39,All Day,Big Bites,510 Barnett Pass
Grilled chicken with chilli & sesame seeds,14,All Day,Big Bites,511 Barnett Pass
"Chicken Fajita Casserole: One Pot, Many Flavors",38,All Day,Big Bites,512 Barnett Pass
Seared Scallops with a Pomegranate Drizzle,33,All Day,Big Bites,513 Barnett Pass
Kale Pesto Avocado Grilled Cheese,13,All Day,Big Bites,514 Barnett Pass
Spinach and Artichoke Chicken,8,All Day,Blind Pig,6604 Ohio Hill
Creamy Baked Risotto with Italian Sausage and Sun-Dried Tomatoes,17,All Day,Blind Pig,6605 Ohio Hill
POTATOES WITH CHEESE SAUCE (PAPAS CHORREADAS),30,All Day,Blind Pig,6606 Ohio Hill
"Steak Sandwiches with Caramelized Peppers, Onions and Garlic",15,All Day,Blind Pig,6607 Ohio Hill
Slow Cooker Coq au Vin,14,All Day,Blind Pig,6608 Ohio Hill
Mediterranean Crab and Couscous Stuffed Mushrooms,4,All Day,Blind Pig,6609 Ohio Hill
Seared Short Rib Wraps from 'Family Table,4,All Day,Blind Pig,6610 Ohio Hill
Chicken Cacciatore,35,All Day,Blind Pig,6611 Ohio Hill
Tofu Kabobs with Cherry Barbecue Sauce,49,All Day,Blind Pig,6612 Ohio Hill
Pan-Seared Cod in White Wine Tomato Basil Sauce,49,All Day,Blind Pig,6613 Ohio Hill
Oven Baked Chicken Tacos – Our Newest Family Favorite,38,All Day,Blind Pig,6614 Ohio Hill
Mediterranean Crab and Couscous Stuffed Mushrooms,18,All Day,Eatable,3 Judy Trail
Calamari,37,All Day,Eatable,4 Judy Trail
Roasted Garlic Macaroni and Cheese,32,All Day,Eatable,5 Judy Trail
Guinea fowl tagine,33,All Day,Eatable,6 Judy Trail
Seared Short Rib Wraps from 'Family Table,45,All Day,Eatable,7 Judy Trail
Chicken and Corn Chowder,1,All Day,Eatable,8 Judy Trail
Super Mom Stir Fry,19,All Day,Eatable,9 Judy Trail
Dinner Tonight: Flattened Chicken with Tomato-Saffron Vinaigrette on Arugula,15,All Day,Eatable,10 Judy Trail
Creamy Baked Risotto with Italian Sausage and Sun-Dried Tomatoes,39,All Day,Eatable,11 Judy Trail
Mexican Chicken Taco Skillet,9,All Day,Eatable,12 Judy Trail
Almond-Thyme-Crusted Mahi Mahi with Lemon Chardonnay Sauce,5,All Day,Eatable,13 Judy Trail
Grilled chicken with chilli & sesame seeds,30,All Day,Eatable,14 Judy Trail
"One Pot Garlic Butter Chicken, Green Beans & Potatoes",25,All Day,Eatable,15 Judy Trail
"Grilled Chicken, Zucchini, and Quinoa Salad",8,All Day,Eatery,21 Hoffman Center
Instant Pot Turkey Chili,20,All Day,Eatery,22 Hoffman Center
Cook the Book: Shepherd's Pie,46,All Day,Eatery,23 Hoffman Center
Bang-Bang Shrimp,20,All Day,Eatery,24 Hoffman Center
Slow Cooker Meatball Subs,20,All Day,Eatery,25 Hoffman Center
Slow Cooker Coq au Vin,9,All Day,Eatery,26 Hoffman Center
Slow Cooker Chicken and Wild Rice Soup,29,All Day,Eatery,27 Hoffman Center
Pork Chops Romano in Lemon-Butter Sauce,38,All Day,Eatery,28 Hoffman Center
Chicken Fajita Burgers,2,All Day,Eatery,29 Hoffman Center
The TJ Hooker Pizza (Chipotle BBQ and Sweet Chili Pineapple + Jalapeño Pizza with Bacon),7,All Day,Eatery,30 Hoffman Center
Skinnified Pork and Bean Burrito,16,All Day,Eatery,31 Hoffman Center
Homemade Creamy Chicken Noodle Soup,19,All Day,Eatery,32 Hoffman Center
"Steak Sandwiches with Caramelized Peppers, Onions and Garlic",19,All Day,Eatery,33 Hoffman Center
Faggots with onion gravy,14,All Day,Goodies,676 Onsgard Avenue
Healthy Chicken Burgers with Spinach Basil Pesto & Mozzarella,50,All Day,Goodies,677 Onsgard Avenue
Slow-Cooker Cincinnati Chili,34,All Day,Goodies,678 Onsgard Avenue
Smoked Salmon Carbonara with Lemon and Dill,17,All Day,Goodies,679 Onsgard Avenue
Fruit Salad with Grilled Chicken and Citrus Poppy Seed Dressing,43,All Day,Goodies,680 Onsgard Avenue
Kale Pesto Avocado Grilled Cheese,7,All Day,Goodies,681 Onsgard Avenue
Pan-seared Salmon with Asparagus for #WeekdaySupper,20,All Day,Goodies,682 Onsgard Avenue
Caprese Mac and Cheese,12,All Day,Lard Boy,800 Sheridan Drive
Seared Scallops with a Pomegranate Drizzle,23,All Day,Lard Boy,801 Sheridan Drive
Chipotle Chicken Grilled Cheese Sandwich + Emmi USA’s “Gourmelt” Grilled Cheese Contest,43,All Day,Lard Boy,802 Sheridan Drive
Pork Tacos with Cilantro-Avocado Cream Sauce,17,All Day,Lard Boy,803 Sheridan Drive
Bird's Nest Egg Salad,10,All Day,Lard Boy,804 Sheridan Drive
"Minty carrot, pistachio & feta salad",29,All Day,Lard Boy,805 Sheridan Drive
Greek pasta salad,30,All Day,Lard Boy,806 Sheridan Drive
Salmon Sandwiches with Fries,36,All Day,Lard Boy,807 Sheridan Drive
Slow Cooker Chicken Tortellini Soup,10,All Day,Lard Boy,808 Sheridan Drive
Caprese Zucchini Noodle Salad,45,All Day,Lard Boy,809 Sheridan Drive
Spinach Burrata Omelet with Avocado Salad,29,All Day,Many Foods,3529 International Street
Sweet Thai Shrimp Curry with Peanut Noodles,9,All Day,Many Foods,3530 International Street
Coconut Pound Cake,37,All Day,Many Foods,3531 International Street
"Penne, Beef and Vegetable Casserole",18,All Day,Many Foods,3532 International Street
Stir-Fried Udon Noodles with Bok Choy,35,All Day,Many Foods,3533 International Street
Skirt Steak With Arugula Salad,42,All Day,Many Foods,3534 International Street
Golden Beet & Beet Greens Pasta W/ Ricotta and Feta Cheese,27,All Day,Many Foods,3535 International Street
Low Carb Peanut Butter Swirl Frozen Yogurt {No Sugar Added},24,All Day,Many Foods,3536 International Street
Beef Curry,18,All Day,Me Likey,094 Ludington Way
Chicken Salad with Grapes and Walnuts,35,All Day,Me Likey,95 Ludington Way
Thai Peanut Chicken,31,All Day,Me Likey,96 Ludington Way
Coconut & tamarind chicken curry,46,All Day,Me Likey,97 Ludington Way
Creamy Green Chile Chicken Enchiladas,13,All Day,Me Likey,98 Ludington Way
Chef Race: Cornmeal-Crusted Catfish with Tomato-Zucchini Rice and Radish Slaw,9,All Day,Me Likey,99 Ludington Way
Cheesy Chicken and Broccoli Whole Wheat Pasta,33,All Day,Wonton Express,924 Loftsgordon Lane
Grilled Watermelon Salad,11,All Day,Wonton Express,925 Loftsgordon Lane
Creamy chicken & mango curry,16,All Day,Wonton Express,926 Loftsgordon Lane
Contest-Winning Eggplant Parmesan,13,All Day,Wonton Express,927 Loftsgordon Lane
"Chicken Fajita Casserole: One Pot, Many Flavors",18,All Day,Wonton Express,928 Loftsgordon Lane
POTATOES WITH CHEESE SAUCE (PAPAS CHORREADAS),9,All Day,Wonton Express,929 Loftsgordon Lane
Roasted Summer Vegetable Mac + Cheese,35,All Day,Wonton Express,930 Loftsgordon Lane
Avocado BLT,24,All Day,Wonton Express,931 Loftsgordon Lane
Spinach and Artichoke Chicken,34,All Day,Wonton Express,932 Loftsgordon Lane
Snapper,20,All Day,Great Burger,0920 La Follette Hill
Grilled Pork Chops,26,All Day,Great Burger,921 La Follette Hill
Thai Peanut Chicken,3,All Day,Great Burger,922 La Follette Hill
Homemade Creamy Chicken Noodle Soup,4,All Day,Great Burger,923 La Follette Hill
Beef Curry,28,All Day,Great Burger,924 La Follette Hill
Grilled chicken with chilli & sesame seeds,33,All Day,Great Burger,925 La Follette Hill
Contest-Winning Eggplant Parmesan,27,All Day,Great Burger,926 La Follette Hill
Caprese Zucchini Noodle Salad,45,All Day,Awesome Burger,12 South Trail
Tofu Kabobs with Cherry Barbecue Sauce,4,All Day,Awesome Burger,13 South Trail
Creamy Green Chile Chicken Enchiladas,12,All Day,Awesome Burger,14 South Trail
Instant Pot Turkey Chili,12,All Day,Awesome Burger,15 South Trail
"Steak Sandwiches with Caramelized Peppers, Onions and Garlic",35,All Day,Awesome Burger,16 South Trail
Pan-Seared Cod in White Wine Tomato Basil Sauce,34,All Day,Awesome Burger,17 South Trail
Chicken Fajita Burgers,9,All Day,Awesome Burger,18 South Trail
Oven Baked Chicken Tacos – Our Newest Family Favorite,10,All Day,Awesome Burger,19 South Trail
Salmon Sandwiches with Fries,37,All Day,Amazing Sauce,77156 Evergreen Point
Cheesy Chicken and Broccoli Whole Wheat Pasta,9,All Day,Amazing Sauce,77156 Evergreen Point
Pan-seared Salmon with Asparagus for #WeekdaySupper,20,All Day,Amazing Sauce,77156 Evergreen Point
Chicken Cacciatore,50,All Day,Amazing Sauce,77156 Evergreen Point
Kale Pesto Avocado Grilled Cheese,32,All Day,Amazing Sauce,77156 Evergreen Point
Slow Cooker Coq au Vin,34,All Day,Amazing Sauce,77156 Evergreen Point
